Trial,1,2,3,4,5
Baseline,0.8075,0.8291666666666667,0.8058333333333333,0.8225,0.8175
Random,0.7225,0.7525,0.7125,0.7333333333333333,0.7275
Intelligent,0.8425,0.8516666666666667,0.8558333333333333,0.8416666666666667,0.85
