,Baseline-1,Randomized-1,Intelligent-1,Randomized-1-original,Intelligent-1-original,Baseline-2,Randomized-2,Intelligent-2,Randomized-2-original,Intelligent-2-original,Baseline-3,Randomized-3,Intelligent-3,Randomized-3-original,Intelligent-3-original,Baseline-4,Randomized-4,Intelligent-4,Randomized-4-original,Intelligent-4-original
Precision,0.7974897149083792,0.742314389345676,0.8540162731759371,0.5029906279573831,0.5304514742243471,0.8351312319896751,0.7361931091551944,0.8429515590447934,0.5279809976247032,0.588018648018648,0.8267455774752246,0.7278038461538462,0.8444798752834468,0.4988818251564126,0.4795702770697225,0.8293643947728105,0.7350227892220386,0.8248570426487093,0.4896430097275127,0.49379971866815375
Recall,0.7975,0.7416666666666667,0.8533333333333334,0.5066666666666667,0.5308333333333334,0.835,0.7358333333333333,0.8425,0.5275,0.5866666666666667,0.8266666666666667,0.7225,0.8441666666666666,0.4925,0.4791666666666667,0.8291666666666667,0.735,0.8225,0.49,0.4925
F-Score,0.7974810060092923,0.7415862820056899,0.8533333333333334,0.47482339099975934,0.5302407429959927,0.8349518449030645,0.7356399572047976,0.8425145473700147,0.5167464063070494,0.5859665868466649,0.8266854532637081,0.7221585881202193,0.8441537883349272,0.46200563605376715,0.42406047460251073,0.8291682089131079,0.7347165270101622,0.8220609211632653,0.43633139172040764,0.47774712459209323
